open_time,open,high,low,close,volume,spread,real_volume
2018-07-19 01:00:00,112.868,112.882,112.8,112.813,439,0,0
2018-07-19 02:00:00,112.814,112.837,112.684,112.711,1451,0,0
2018-07-19 03:00:00,112.712,112.812,112.706,112.74,1692,0,0
2018-07-19 04:00:00,112.741,112.774,112.664,112.754,841,0,0
2018-07-19 05:00:00,112.755,112.777,112.704,112.735,651,0,0
2018-07-19 06:00:00,112.734,112.774,112.688,112.744,684,0,0
2018-07-19 07:00:00,112.746,112.838,112.743,112.799,972,0,0
2018-07-19 08:00:00,112.8,112.887,112.778,112.833,1444,0,0
2018-07-19 09:00:00,112.834,113.047,112.83,112.985,1974,0,0
2018-07-19 10:00:00,112.984,113.057,112.934,112.947,1537,0,0
2018-07-19 11:00:00,112.948,113.081,112.947,113.03,1214,0,0
2018-07-19 12:00:00,113.031,113.09,112.944,113.034,1318,0,0
2018-07-19 13:00:00,113.035,113.07,112.957,112.964,1179,0,0
2018-07-19 14:00:00,112.963,113.185,112.962,113.095,1844,0,0
2018-07-19 15:00:00,113.096,113.103,112.916,112.953,1794,0,0
2018-07-19 16:00:00,112.952,112.967,112.839,112.894,1826,0,0
2018-07-19 17:00:00,112.893,113.007,112.891,112.994,1245,0,0
2018-07-19 18:00:00,112.993,112.996,112.802,112.869,1006,0,0
2018-07-19 19:00:00,112.868,112.868,112.07,112.349,5851,0,0
2018-07-19 20:00:00,112.348,112.481,112.282,112.475,2115,0,0
2018-07-19 21:00:00,112.476,112.524,112.444,112.508,914,0,0
2018-07-19 22:00:00,112.509,112.53,112.405,112.474,515,0,0
2018-07-19 23:00:00,112.464,112.476,112.391,112.447,1530,0,0
2018-07-20 00:00:00,112.448,112.494,112.429,112.455,717,0,0
2018-07-20 01:00:00,112.456,112.475,112.36,112.375,857,0,0
2018-07-20 02:00:00,112.374,112.611,112.366,112.54,2059,0,0
2018-07-20 03:00:00,112.539,112.631,112.287,112.392,4324,0,0
2018-07-20 04:00:00,112.393,112.494,112.366,112.419,2698,0,0
2018-07-20 05:00:00,112.42,112.421,112.312,112.356,1583,0,0
2018-07-20 06:00:00,112.355,112.396,112.221,112.224,1185,0,0
2018-07-20 07:00:00,112.231,112.351,112.225,112.327,1975,0,0
2018-07-20 08:00:00,112.328,112.435,112.317,112.363,1776,0,0
2018-07-20 09:00:00,112.364,112.457,112.356,112.457,1556,0,0
2018-07-20 10:00:00,112.456,112.514,112.434,112.456,1055,0,0
2018-07-20 11:00:00,112.455,112.493,112.379,112.444,1278,0,0
2018-07-20 12:00:00,112.443,112.462,112.329,112.406,2624,0,0
2018-07-20 13:00:00,112.407,112.466,112.266,112.274,1255,0,0
2018-07-20 14:00:00,112.275,112.31,111.762,111.775,3676,0,0
2018-07-20 15:00:00,111.776,111.926,111.731,111.844,3595,0,0
2018-07-20 16:00:00,111.845,111.871,111.584,111.842,3537,0,0
2018-07-20 17:00:00,111.843,111.866,111.726,111.757,1670,0,0
2018-07-20 18:00:00,111.756,111.797,111.692,111.698,969,0,0
2018-07-20 19:00:00,111.7,111.71,111.554,111.574,1017,0,0
2018-07-20 20:00:00,111.571,111.574,111.415,111.528,1420,0,0
2018-07-20 21:00:00,111.527,111.596,111.484,111.52,794,0,0
2018-07-20 22:00:00,111.519,111.526,111.399,111.455,812,0,0
2018-07-23 00:00:00,111.447,111.515,111.306,111.347,1182,0,0
2018-07-23 01:00:00,111.348,111.384,111.068,111.069,1637,0,0
2018-07-23 02:00:00,111.07,111.091,110.865,110.95,2768,0,0
2018-07-23 03:00:00,110.948,111.18,110.764,110.898,3483,0,0
2018-07-23 04:00:00,110.897,110.985,110.867,110.955,1272,0,0
2018-07-23 05:00:00,110.956,110.968,110.873,110.9,992,0,0
2018-07-23 06:00:00,110.901,110.957,110.896,110.955,612,0,0
2018-07-23 07:00:00,110.954,111.018,110.912,111.0,1401,0,0
2018-07-23 08:00:00,110.999,111.055,110.908,111.037,1821,0,0
2018-07-23 09:00:00,111.038,111.138,110.95,110.976,2108,0,0
2018-07-23 10:00:00,110.977,111.149,110.926,111.112,1212,0,0
2018-07-23 11:00:00,111.111,111.198,111.076,111.148,1524,0,0
2018-07-23 12:00:00,111.147,111.186,111.104,111.108,963,0,0
2018-07-23 13:00:00,111.109,111.13,111.071,111.105,858,0,0
2018-07-23 14:00:00,111.106,111.28,111.102,111.28,1188,0,0
2018-07-23 15:00:00,111.279,111.357,111.254,111.299,2001,0,0
2018-07-23 16:00:00,111.3,111.43,111.279,111.404,2117,0,0
2018-07-23 17:00:00,111.405,111.434,111.269,111.362,1638,0,0
2018-07-23 18:00:00,111.363,111.508,111.346,111.441,1641,0,0
2018-07-23 19:00:00,111.442,111.553,111.395,111.469,1137,0,0
2018-07-23 20:00:00,111.47,111.512,111.413,111.488,1087,0,0
2018-07-23 21:00:00,111.487,111.529,111.401,111.425,631,0,0
2018-07-23 22:00:00,111.426,111.448,111.336,111.353,650,0,0
2018-07-23 23:00:00,111.355,111.373,111.301,111.323,2476,0,0
2018-07-24 00:00:00,111.324,111.388,111.305,111.388,556,0,0
2018-07-24 01:00:00,111.389,111.523,111.389,111.474,978,0,0
2018-07-24 02:00:00,111.475,111.475,111.238,111.24,1736,0,0
2018-07-24 03:00:00,111.239,111.241,111.074,111.219,1731,0,0
2018-07-24 04:00:00,111.218,111.269,111.188,111.249,937,0,0
2018-07-24 05:00:00,111.248,111.372,111.248,111.324,636,0,0
2018-07-24 06:00:00,111.323,111.367,111.295,111.354,562,0,0
2018-07-24 07:00:00,111.353,111.353,111.302,111.305,600,0,0
2018-07-24 08:00:00,111.304,111.462,111.304,111.37,1550,0,0
2018-07-24 09:00:00,111.369,111.369,111.149,111.213,2288,0,0
2018-07-24 10:00:00,111.215,111.282,111.172,111.251,1151,0,0
2018-07-24 11:00:00,111.25,111.25,111.175,111.206,805,0,0
2018-07-24 12:00:00,111.207,111.213,111.028,111.05,1077,0,0
2018-07-24 13:00:00,111.049,111.101,111.026,111.068,1283,0,0
2018-07-24 14:00:00,111.069,111.217,111.069,111.172,1564,0,0
2018-07-24 15:00:00,111.173,111.195,110.973,111.014,1804,0,0
2018-07-24 16:00:00,111.015,111.123,110.987,111.109,2073,0,0
2018-07-24 17:00:00,111.108,111.3,111.085,111.29,2160,0,0
2018-07-24 18:00:00,111.289,111.346,111.238,111.292,1499,0,0
2018-07-24 19:00:00,111.293,111.297,111.144,111.171,1551,0,0
2018-07-24 20:00:00,111.17,111.229,111.162,111.229,1285,0,0
2018-07-24 21:00:00,111.231,111.243,111.167,111.2,655,0,0
2018-07-24 22:00:00,111.199,111.235,111.186,111.213,285,0,0
2018-07-24 23:00:00,111.212,111.237,111.171,111.212,2916,0,0
2018-07-25 00:00:00,111.211,111.26,111.205,111.254,622,0,0
2018-07-25 01:00:00,111.253,111.298,111.226,111.291,411,0,0
2018-07-25 02:00:00,111.29,111.349,111.164,111.306,1780,0,0
2018-07-25 03:00:00,111.305,111.393,111.208,111.297,1672,0,0
2018-07-25 04:00:00,111.296,111.331,111.261,111.309,879,0,0
